year,naics_4,dherfindahl
2012,322121,-0.030065835
2013,322121,-0.053444237
2014,322121,0.030334055
2015,322121,-0.043970853
2001,322130,-0.017656982
2002,322130,0.021794558
2003,322130,-0.000784159
2004,322130,-0.011282682
2005,322130,0.005302817
2006,322130,-0.014126301
2007,322130,-0.059355885
2008,322130,0.027225792
2009,322130,0.029865086
2010,322130,0.005516559
2011,322130,0.18001011
2012,322130,0.041648686
2013,322130,-0.004543424
2014,322130,-0.063030303
2015,322130,0.12830567
2001,322211,-0.000284642
2002,322211,0.081847936
2003,322211,-0.00967446
2004,322211,0.013228089
2005,322211,0.000696778
2006,322211,0.148451
2007,322211,-6.39558E-05
2008,322211,0.004233182
2009,322211,0.004747152
2010,322211,-0.003565729
2011,322211,0.054645002
2012,322211,0.079356134
2013,322211,-0.040358484
2014,322211,-0.066108704
2015,322211,0.021289885
2001,322212,0.00426057
2002,322212,0.001115322
2003,322212,0.44863516
2004,322212,0.074011207
2005,322212,0
2006,322212,-1.19E-07
2007,322212,1.19E-07
2008,322212,-1.19E-07
2009,322212,0
2010,322212,1.19E-07
2011,322212,0
2012,322212,0
2013,322212,0
2014,322212,0
2015,322212,0
2001,322219,-0.064287603
2002,322219,-0.005067736
2003,322219,-0.015683502
2004,322219,0.007553577
2005,322219,0.004493386
2006,322219,-0.056024283
2007,322219,-0.009798795
2008,322219,-0.013516873
2009,322219,-0.006654948
2010,322219,0.004061043
2011,322219,-0.003359199
2012,322219,0.13101974
2013,322219,-0.000182152
2014,322219,-0.074568689
2015,322219,-0.039021373
2001,322220,0.0379484
2002,322220,-0.028548211
2003,322220,0.005595595
2004,322220,-0.000608593
2005,322220,0.002312213
2006,322220,0.016062647
2007,322220,0.00127244
2008,322220,-0.005237401
2009,322220,0.004775077
2010,322220,0.006117046
2011,322220,0.021083266
2012,322220,0.020798326
2013,322220,-0.023961157
2014,322220,0.012738168
2015,322220,0.002482832
2001,322230,0
2002,322230,0
2003,322230,0
2004,322230,0
2005,322230,0
2006,322230,0
2007,322230,0
2008,322230,0
2009,322230,0
2010,322230,-0.1515981
2011,322230,-6.11544E-05
2012,322230,-0.00034678
2013,322230,-0.018685102
2014,322230,0.005702376
2015,322230,-0.034867764
2001,323111,-0.010338008
2002,323111,-0.006652176
2003,323111,-0.095399529
2004,323111,0.002042472
2005,323111,-0.056087524
2006,323111,-0.031863987
2007,323111,-0.002819598
2008,323111,-0.12921439
2009,323111,-0.014531597
2010,323111,0.066939384
2011,323111,0.033537596
2012,323111,-0.029418707
2013,323111,0.016940057
2014,323111,-0.044360638
2015,323111,-0.009623453
2001,324110,0.009901822
2002,324110,-0.002958804
2003,324110,-0.000545606
2004,324110,-0.001667827
2005,324110,0.076425597
2006,324110,-0.044980451
2007,324110,-0.017666355
2008,324110,0.027379513
2009,324110,-0.041905165
2010,324110,0.023456171
2011,324110,-0.001473859
2012,324110,-0.003733933
2013,324110,0.001156122
2014,324110,-0.027055025
2015,324110,0.004036367
2001,324122,-0.001215577
2002,324122,-0.012188584
2003,324122,0.038858473
2004,324122,-0.005498976
2005,324122,-0.020620495
2006,324122,-0.003118306
2007,324122,0.12615308
2008,324122,-0.004900873
2009,324122,0.499286
2010,324122,0
2011,324122,0
2012,324122,0
2013,324122,-1.19E-07
2014,324122,0
2015,324122,1.19E-07
2001,325120,0.000243425
2002,325120,0.000108778
2003,325120,0.000108957
2004,325120,-6.9052E-05
2005,325120,0.001565725
2006,325120,0.16481459
2007,325120,6.51479E-05
2008,325120,-0.000373125
2009,325120,0.000664711
2010,325120,0.000794768
2011,325120,-0.000117421
2012,325120,0.001490116
2013,325120,0.000120342
2014,325120,0.000146091
2015,325120,-0.00235188
2001,325199,-0.016053557
2002,325199,-0.040407658
2003,325199,-0.000988692
2004,325199,0.020135418
2005,325199,0.003792167
2006,325199,0.006996825
2007,325199,0.082446814
2008,325199,-0.005664945
2009,325199,-0.094569162
2010,325199,-0.000945717
2011,325199,0.034705535
2012,325199,-0.053540066
2013,325199,-0.004367292
2014,325199,0.005430266
2015,325199,-0.014209032
2001,325211,0.038457513
2002,325211,0.015112102
2003,325211,0.022109389
2004,325211,0.10790166
2005,325211,0.029791296
2006,325211,0.003962994
2007,325211,0.005996347
2008,325211,0.003264546
2009,325211,0.1329307
2010,325211,-0.098191381
2011,325211,0.040256858
2012,325211,-0.026291549
2013,325211,-0.087313741
2014,325211,-0.000849396
2015,325211,-0.024487406
2001,325212,0
2002,325212,0
2003,325212,0
2004,325212,0
2005,325212,0
2006,325212,0
2007,325212,0
2008,325212,0
2009,325212,0
2010,325212,0
