year,naics_4,dmarkup
2005,322212,-0.04938066
2006,322212,-0.010475755
2007,322212,0.026293397
2008,322212,-0.029672265
2009,322212,0.025710225
2010,322212,0.015164137
2011,322212,0.004288197
2012,322212,0.014285803
2013,322212,-0.003276587
2014,322212,0.032765031
2015,322212,0.010412931
2001,322219,-0.01962626
2002,322219,-0.011362672
2003,322219,-0.025797486
2004,322219,-0.009724975
2005,322219,-0.00316
2006,322219,-0.000799298
2007,322219,0.001475334
2008,322219,-0.007431746
2009,322219,0.013650656
2010,322219,0.007126808
2011,322219,-0.010671258
2012,322219,0.002943873
2013,322219,0.008418798
2014,322219,0.000851989
2015,322219,0.009317637
2001,322220,-0.016045213
2002,322220,0.004821062
2003,322220,-0.001874447
2004,322220,0.016622066
2005,322220,0.008862376
2006,322220,-0.026454568
2007,322220,-0.031065106
2008,322220,-0.020893097
2009,322220,0.011319876
2010,322220,0.002169132
2011,322220,-0.016085148
2012,322220,0.035732627
2013,322220,0.01529634
2014,322220,0.020158172
2015,322220,0.04262042
2001,322230,-0.052660823
2002,322230,0.004897952
2003,322230,0.000379205
2004,322230,0.001932621
2005,322230,-0.005664945
2006,322230,-0.005897522
2007,322230,0.023006082
2008,322230,0.004323602
2009,322230,-0.027279258
2010,322230,-0.002778649
2011,322230,-0.002750039
2012,322230,-0.002731681
2013,322230,-0.028087497
2014,322230,-0.009232998
2015,322230,0.007206202
2001,323111,-0.018810868
2002,323111,0.000151038
2003,323111,-0.008385301
2004,323111,0.010182023
2005,323111,-0.039590597
2006,323111,0.002956152
2007,323111,0.002173781
2008,323111,0.021240473
2009,323111,0.009101033
2010,323111,0.028820634
2011,323111,-0.007497311
2012,323111,-0.011780739
2013,323111,-0.007286906
2014,323111,-0.029881835
2015,323111,0.00993824
2001,324110,-0.036780477
2002,324110,-0.038398743
2003,324110,0.034109116
2004,324110,0.001435757
2005,324110,0.061965227
2006,324110,-0.015521169
2007,324110,-0.000217795
2008,324110,-0.035474896
2009,324110,0.011264086
2010,324110,-0.011031985
2011,324110,-0.013202548
2012,324110,-0.02119422
2013,324110,-0.013509989
2014,324110,0.000585437
2015,324110,-0.017579913
2001,324122,-0.013264418
2002,324122,0.017635107
2003,324122,0.004898787
2004,324122,0.01643908
2005,324122,0.00287497
2006,324122,-0.010246396
2007,324122,0.020934224
2008,324122,0.011970878
2009,324122,-0.042571187
2010,324122,0.000861406
2011,324122,0.003492594
2012,324122,0.063552022
2013,324122,0.01173377
2014,324122,-0.001356006
2015,324122,0.061255574
2001,325120,-0.014464498
2002,325120,0.046906471
2003,325120,-0.040014625
2004,325120,-0.001547933
2005,325120,-0.035339475
2006,325120,-0.094597936
2007,325120,0.0217309
2008,325120,-0.009060264
2009,325120,0.065586329
2010,325120,0.002195835
2011,325120,-0.01436317
2012,325120,-0.000485778
2013,325120,0.011006951
2014,325120,0.004083872
2015,325120,0.044086099
2001,325199,-0.018548846
2002,325199,0.009323239
2003,325199,0.017121792
2004,325199,0.044914007
2005,325199,-0.023943186
2006,325199,-0.017996788
2007,325199,0.011948347
2008,325199,-0.041772246
2009,325199,-0.000275373
2010,325199,0.02169168
2011,325199,0.010919571
2012,325199,-0.004919291
2013,325199,0.052329779
2014,325199,0.026305199
2015,325199,0.01777482
2001,325211,-0.058330655
2002,325211,0.004767656
2003,325211,-0.014454603
2004,325211,0.022270322
2005,325211,0.033108473
2006,325211,-0.022929788
2007,325211,-0.026076674
2008,325211,-0.033370614
2009,325211,0.032431006
2010,325211,0.029389858
2011,325211,-0.011735797
2012,325211,0.004698038
2013,325211,0.011082768
2014,325211,0.007662892
2015,325211,0.053457499
2001,325212,-0.032098413
2002,325212,0.026560068
2003,325212,-0.077451944
2004,325212,-0.004963756
2005,325212,0.022454739
2006,325212,-0.016764045
2007,325212,-0.010269284
2008,325212,-0.041107655
2009,325212,0.022516131
2010,325212,0.009792209
2011,325212,0.005618691
2012,325212,0.0252316
2013,325212,-0.05356586
2014,325212,0.003705382
2015,325212,0.011605024
2001,325320,0.028790712
2002,325320,-0.032869101
2003,325320,-0.018128633
2004,325320,0.000605941
2005,325320,0.025536656
2006,325320,-0.012010813
2007,325320,0.052385449
2008,325320,0.008007407
2009,325320,-0.008344412
2010,325320,0.053183675
2011,325320,-0.00374341
2012,325320,0.031388879
2013,325320,-0.017054439
2014,325320,-0.015377045
2015,325320,-0.000175476
2001,325520,-0.032534003
2002,325520,-0.012093663
2003,325520,-0.011454701
2004,325520,0.000194192
2005,325520,-0.005311132
2006,325520,0.029350996
2007,325520,0.030632854
2008,325520,-0.041677952
2009,325520,0.031470418
2010,325520,0.003453612
2011,325520,-0.003921986
2012,325520,0.001737237
2013,325520,0.003596783
2014,325520,-0.007154107
2015,325520,0.007112861
2001,325611,-0.003424287
2002,325611,0.001849175
2003,325611,0.02018714
2004,325611,0.050464392
2005,325611,-0.0125072
2006,325611,0.036264777
2007,325611,0.070905089
2008,325611,-0.033457994
2009,325611,0.004116774
2010,325611,0.04763937
2011,325611,-0.056831837
2012,325611,-0.011879921
2013,325611,0.007508755
2014,325611,-0.017591
2015,325611,0.023236513
2001,325612,-0.027093887
2002,325612,0.023376465
2003,325612,0.067676306
2004,325612,0.001884937
2005,325612,-0.037742853
2006,325612,-0.0011971
2007,325612,0.019426823
2008,325612,-0.042923212
2009,325612,0.022138715
2010,325612,0.028724194
2011,325612,-0.033257246
2012,325612,-0.021925569
2013,325612,0.014018059
2014,325612,0.016817093
2015,325612,0.04592514
2001,325613,-0.012348652
2002,325613,0.014473081
2003,325613,-0.032449067
2004,325613,-0.022133589
2005,325613,-0.008415759
2006,325613,-0.005536318
2007,325613,0.000463843
2008,325613,-0.000221133
2009,325613,0.083300591
2010,325613,-0.017432451
2011,325613,-0.023310959
2012,325613,0.028903782
2013,325613,-0.012648523
2014,325613,-0.016634703
2015,325613,0.053549349
2001,325992,-0.022585034
2002,325992,-0.029098868
2003,325992,0.008131862
2004,325992,-0.023049474
2005,325992,0.04468143
2006,325992,0.007424831
2007,325992,0.000672936
2008,325992,-0.066495776
2009,325992,0.056153655
2010,325992,-0.014196157
2011,325992,-0.049335599
2012,325992,-0.049924016
2013,325992,-0.033811331
2014,325992,-0.008870721
2015,325992,0.018998861
2001,325998,-0.029376745
2002,325998,0.072317362
2003,325998,-0.023560405
2004,325998,-0.019734383
2005,325998,-0.031679153
2006,325998,0.008525848
2007,325998,0.013660192
2008,325998,-0.013877749
2009,325998,0.013907194
2010,325998,0.067373037
2011,325998,-0.085180044
2012,325998,0.065904021
2013,325998,0.028843999
2014,325998,-0.014366031
2015,325998,0.082733989
2001,326112,0.020262837
2002,326112,0.007816434
2003,326112,0.012582779
2004,326112,-0.010426521
2005,326112,0.007938743
2006,326112,-0.042440057
2007,326112,-0.002340436
2008,326112,0.004296303
2009,326112,0.006541967
2010,326112,0.016983509
2011,326112,0.002931714
2012,326112,-0.000967264
2013,326112,0.011205316
2014,326112,0.008518934
2015,326112,0.013128161
2001,326113,-0.001888871
2002,326113,0.018908381
2003,326113,-0.025480747
2004,326113,-0.015739679
2005,326113,-0.027730823
2006,326113,-0.001507998
2007,326113,0.030238986
2008,326113,-0.040562391
2009,326113,0.063208818
2010,326113,-0.037111878
2011,326113,0.014263034
2012,326113,0.077535391
2013,326113,-0.001432061
2014,326113,0.021070361
2015,326113,0.033130288
2001,326140,-0.017625928
2002,326140,0.027607083
2003,326140,-0.004359603
2004,326140,-0.089426756
2005,326140,-0.034465492
2006,326140,0.029986858
2007,326140,-0.010101855
2008,326140,0.041300893
2009,326140,0.07371664
2010,326140,0.041762471
2011,326140,-0.028076053
2012,326140,-0.040843606
2013,326140,0.013909698
2014,326140,-0.036287665
2015,326140,0.01181829
2001,326211,-0.016402483
2002,326211,0.001977205
2003,326211,-0.012904048
2004,326211,0.029521942
2005,326211,-0.00174439
2006,326211,-0.054141998
2007,326211,0.033381462
2008,326211,-0.030032158
2009,326211,0.002460122
2010,326211,0.015064478
2011,326211,-0.008466125
2012,326211,0.019296169
2013,326211,0.040434003
2014,326211,0.030596733
2015,326211,0.045788169
2001,326212,0.011807203
2002,326212,-0.0115242
2003,326212,0.007368207
2004,326212,-0.002808929
2005,326212,-0.001530409
2006,326212,0.003998756
2007,326212,-0.00857532
2008,326212,0.008223295
2009,326212,0.019002438
